task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
numbers/plain_double_sum,plain_double_sum,reuse_ab,150000,0,step_budget,,10,2,150000,0.4721969999999942,0.47671216600001287,0,0,False
numbers/plain_double_sum,plain_double_sum,baseline,150000,0,found,"['synth_sum', 'bench_double']",11,2,113499,0.4103409999999883,0.4116621659999993,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,150000,0,found,"['synth_sum', 'bench_double']",12,2,126496,0.4648260000000022,0.46775179099999775,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,150000,1,found,"['synth_sum', 'bench_double']",12,2,126496,0.46011500000000183,0.4620594999999952,40,0,True
numbers/plain_double_sum,plain_double_sum,baseline,150000,1,found,"['synth_sum', 'bench_double']",11,2,113499,0.42549499999999796,0.42925062499999456,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_ab,150000,1,step_budget,,10,2,150000,0.46577800000000025,0.46888679199999217,0,0,False
numbers/plain_double_sum,plain_double_sum,reuse_ab,450000,0,found,"['synth_sum', 'bench_double']",13,2,189782,0.5748660000000001,0.5787973330000113,40,0,True
numbers/plain_double_sum,plain_double_sum,baseline,450000,0,found,"['synth_sum', 'bench_double']",11,2,113499,0.40710599999999886,0.40844966599999566,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,450000,0,found,"['synth_sum', 'bench_double']",12,2,126496,0.4609869999999887,0.4630264590000053,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,450000,1,found,"['synth_sum', 'bench_double']",12,2,126496,0.45557599999999354,0.4568807500000105,40,0,True
numbers/plain_double_sum,plain_double_sum,baseline,450000,1,found,"['synth_sum', 'bench_double']",11,2,113499,0.4208679999999987,0.4227092920000075,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_ab,450000,1,found,"['synth_sum', 'bench_double']",13,2,189782,0.5538100000000128,0.5556543339999962,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_ab,1350000,0,found,"['synth_sum', 'bench_double']",13,2,189782,0.5845309999999984,0.5931067920000004,40,0,True
numbers/plain_double_sum,plain_double_sum,baseline,1350000,0,found,"['synth_sum', 'bench_double']",11,2,113499,0.41432899999999506,0.4171437910000009,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,1350000,0,found,"['synth_sum', 'bench_double']",12,2,126496,0.46131400000000156,0.46371770899999376,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_a,1350000,1,found,"['synth_sum', 'bench_double']",12,2,126496,0.4760930000000059,0.48245487500000195,40,0,True
numbers/plain_double_sum,plain_double_sum,baseline,1350000,1,found,"['synth_sum', 'bench_double']",11,2,113499,0.5043999999999897,0.5435737920000037,40,0,True
numbers/plain_double_sum,plain_double_sum,reuse_ab,1350000,1,found,"['synth_sum', 'bench_double']",13,2,189782,0.5807020000000023,0.5869665000000026,40,0,True
numbers/maximum_control,maximum_control,baseline,150000,0,step_budget,,14,2,150000,0.567270999999991,0.5700536660000068,0,0,False
numbers/maximum_control,maximum_control,reuse_a,150000,0,step_budget,,13,2,150000,0.537949999999995,0.540418583999994,0,0,False
